Content Category,Video Title,Video URL,Video Cover Picture URL,Duration
Sports,Real Madrid vs Barcelona 2-3 - Highlights & Goals - 29 July 2017 ,https://www.youtube.com/watch?v=yE0BJMwGkRI,https://i.ytimg.com/vi/yE0BJMwGkRI/maxresdefault.jpg,4:41
Sports, Best of Lin Dan vs Lee Chong Wei ,https://www.youtube.com/watch?v=6qKXVJcxWk4,http://cdn1.thecoverage.my/wp-content/uploads/2016/08/nnn.jpg,11:21
Sci-fi,Stranger Things Season 1 Trailer,https://www.youtube.com/watch?v=XWxyRG_tckY,https://i.ytimg.com/vi/XWxyRG_tckY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAVgFxfs3mYk_i9l_sRj1kawtRUhg,2:25
Western dramas,"Blair & Serena 1x01 (Legendado) | Gossip Girl
",https://www.youtube.com/watch?v=3TEQ2GwA3Gk&list=PLN5fSSV5xEkhV-2Hs8TYVWW3r4sw6jxCa,https://i.ytimg.com/vi/e8_Z7-97mIw/maxresdefault.jpg,1:54
Prestige dramas,FRANK UNDERWOOD'S BEST MONOLOGUE,https://www.youtube.com/watch?v=EDi7cRFcnnY,http://media.salon.com/2013/02/house_of_cards2.jpg,1:03
Prestige dramas,"Mary & Matthew: Will They, Won't They?",https://www.youtube.com/watch?v=rXTZESBsCl8,https://i.ytimg.com/vi/sn9kJPqMysQ/maxresdefault.jpg,5:18
Hollywood movies,Guardians of the Galaxy 2 Opening Scene Baby Groot Dance Movie Clip (2017),https://www.youtube.com/watch?v=_Si0DjxK98Q,http://digitalspyuk.cdnds.net/17/11/980x490/landscape-1489479757-baby-g-jpeg.jpg,4:25
Hollywood movies,Star Wars VII The Force Awakens- Rey vs Kylo Ren Lightsaber Fight Scene,https://www.youtube.com/watch?v=rWF0f183tSA,https://i.ytimg.com/vi/nzGcYP-H1yA/maxresdefault.jpg,2:12
Malay Drama,My Darling Inspektor Daniel Episod 5 (official teaser),https://www.youtube.com/watch?v=vV-qOZHD8AQ,https://3.bp.blogspot.com/-ZXJjFK9LEqk/WWND5Oupr2I/AAAAAAAAE1U/jYYFOAVDPSsxU0VDakf7QILzkz3cza4NwCLcBGAs/s1600/My%2BDarling%2BInspektor%2BDaniel.png,1:00
Hollywood movies,"Fast and Furious 8 Movie Clips (2017) | The Fate of the Furious
",https://www.youtube.com/watch?v=t83YU-vOwak,https://i.ytimg.com/vi/t83YU-vOwak/maxresdefault.jpg,10:28
K-drama,Goblin Ep 7 – Make A Wish,https://www.youtube.com/watch?v=EhWdM4Xut80,https://i.ytimg.com/vi/EhWdM4Xut80/maxresdefault.jpg,2:02
K-drama,Strong Woman Do Bong Soon Ep 1 - So Damn Sexy,https://www.youtube.com/watch?v=U0CIjwzmXFA&t=5s,https://i.ytimg.com/vi/CKz62p3p7TY/maxresdefault.jpg,1:12
Anime,Boku no Hero - Bakugou vs Todoroki,https://www.youtube.com/watch?v=bMcE60-q8R0,https://i.ytimg.com/vi/fMdyq80kdg8/maxresdefault.jpg,3:49
Hollywood movies,Star Wars VII The Force Awakens- Second Battle/Rey Meets Kylo Ren Scene,https://www.youtube.com/watch?v=jipvuyDBXy8,https://i.ytimg.com/vi/sBVonQIIqyg/maxresdefault.jpg,3:17
Western dramas,Riverdale Season 1 Episode 2 - Archie and Reggie fight,https://www.youtube.com/watch?v=2XpbdtloOV0,https://vignette4.wikia.nocookie.net/riverdalearchie/images/5/5f/Season_1_Episode_2_A_Touch_of_Evil_Archie_vs_Reggie.png/revision/latest?cb=20170311181238,2:25
