Scene ID,Product Annot,Seen On,,Price,Slashed Price,Title,Free Gift,Sizes,Colors,Discount Code,Discount Message,Product Link,Picture URL,Features
1,1,Fatin Afeefa,Sophie,RM68.00,RM61.20,Kelvin Gems Heart Swarosvki Pearl Hook Earrings,,,White Gold ,,,http://www.goshop.com.my/prd/20044190.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/41/90/20044190_01_400.jpg,"Brand: Crafted By Angie
Metal: 925 Sterling Silver
Plating: Rhodium Plating (18K White Gold Plated)
Stone: 2pcs SWAROVSKI pearl"
2,1,Naelofa,Helena,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"SERI : PEACHSKIN (Instant)
KIRANA : METEORITE (Double loop) 
AURA : PIGEON(Semi-instant with attached inner) ",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_400.jpg,"SERI is an ideal choice for ladies preferring a more minimal style
KIRANA is made from heavy chiffon so it has a wonderful drape and would stay in place no matter how you style it.
AURA has a sweet, carefree and youthful feel"
3,1,Naelofa,Helena,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"SERI : PEACHSKIN (Instant)
KIRANA : METEORITE (Double loop) 
AURA : PIGEON(Semi-instant with attached inner) ",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/41/90/20044190_01_400.jpg,"SERI is an ideal choice for ladies preferring a more minimal style
KIRANA is made from heavy chiffon so it has a wonderful drape and would stay in place no matter how you style it.
AURA has a sweet, carefree and youthful feel"
4,1,Naelofa,Helena,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"SERI : PEACHSKIN (Instant)
KIRANA : METEORITE (Double loop) 
AURA : PIGEON(Semi-instant with attached inner) ",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/41/90/20044190_01_400.jpg,"SERI is an ideal choice for ladies preferring a more minimal style
KIRANA is made from heavy chiffon so it has a wonderful drape and would stay in place no matter how you style it.
AURA has a sweet, carefree and youthful feel"
4,2,Hani Clevergirl,Aida,RM525.00,RM472.50,Puma Ultrasize 45 Black Gold Women Watch,,,Black,,,http://www.goshop.com.my/prd/20039927.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/99/27/20039927_01_400.jpg,"Stainless steel case with black IP 
Black PU strap"
5,1,,,RM200.00,RM179.00,Hesstar Blender,,,Black,,,http://www.goshop.com.my/prd/20028121.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/81/21/20028121_01_400.jpg,1 Year Warranty on Manufacturing Defects
6,1,,,RM159.00,RM143.10,Sturdy Medium Office Chair,,,Black/Blue/Purple,,,http://www.goshop.com.my/prd/20005608.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/56/08/20005608_01_400.jpg,"Ergonomic design
Breatheable Mesh material"
6,2,Hafidz Roshdi,Fareeq,RM799.00,RM469.00,Casio Edifice Analog Black Dial Men Watch,,,Black,,,http://www.goshop.com.my/prd/20046622.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/66/22/20046622_01_400.jpg,"100-meter water resistance
Stainless Steel Band"
7,1,,,RM888.00,RM799.20,Newton Sofa Bed,,,Light brown with Dark brown piping,,,http://www.goshop.com.my/prd/20007011.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/70/11/20007011_01_400.jpg,"Material: Velvet
2 years warranty for manufacturing defects"
7,1,Naelofar,Helena,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),,,"SERI : PEACHSKIN (Instant)
KIRANA : METEORITE (Double loop) 
AURA : PIGEON(Semi-instant with attached inner) ",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/41/90/20044190_01_400.jpg,"SERI is an ideal choice for ladies preferring a more minimal style
KIRANA is made from heavy chiffon so it has a wonderful drape and would stay in place no matter how you style it.
AURA has a sweet, carefree and youthful feel"
