Scene ID,Product Annot,Seen On,Price,Slashed Price,Title,Free Gift,Sizes,Colors,Discount Code,Discount Message,Product Link,Picture URL,Features,Notes 
14,1,,RM149.00,RM134.10,Hawa Adara Tudung Sofea Set (6pcs set),,,"PInk Lilac, Olive, Dusty Rose, Grey, Teal, Navy",,,http://www.goshop.com.my/prd/20035123.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/51/23/20035123_01_1200.jpg,"Easy to wear and get ready in an instant
Chiffon Cerutti Spandex Fabric - soft, breathable fabric making it easy to wear all day
",
14,2,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),NH Hijab Perfume x 1 (Assorted),,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,Heavy Chiffon with Swarovski Coloured Xirius Crystal and Swarovski Aurora Borealis (AB),
15,1,,RM129.00,RM116.10,Hellolulu Ethan Compact Camera Bag - Black (30005-01),,,Black,,,http://www.goshop.com.my/prd/20044820.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/48/20/20044820_01_1200.jpg,,
16,1,,RM1115.00,RM619.00,Seiko Criteria Solar Men Watch (SNE195P1),,,,,,http://www.goshop.com.my/prd/20046466.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/64/66/20046466_01_1200.jpg,,
16,2,,RM139.00,RM125.10,Leanen Comfy Tudung Set (New Colours) (6pcs set),,,"Earl Grey, Eggplant, Blueberry, Vanilla, Bandung, Green Tea",,,http://www.goshop.com.my/prd/20041833.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/18/33/20041833_01_1200.jpg,"Made from soft cotton Lycra material
Easy to wear and get ready in an instant
Wear without inner and pin ",
17,1,,RM149.00,RM134.10,Najjah Tudung Syria (Anniversary Special Bundle - 5pcs Set),Free Matching Inner x 5,,"Brown, Maroon, Sand, Purple, Emerald Green",,,http://www.goshop.com.my/prd/20046138.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/61/38/20046138_01_1200.jpg,"Designed by Najjah, this solid0coloured creation boasts a clean cut sillhouette and cosy fabric
Instant design and Cotton Lycra material
Versatile styling
Perfect for women who are constantly on the go",
17,2,,RM149.00,RM134.10,Hawa Adara Tudung Sofea Set (6pcs set) (6pcs set),,,"PInk Lilac, Olive, Dusty Rose, Grey, Teal, Navy",,,http://www.goshop.com.my/prd/20035123.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,Heavy Chiffon with Swarovski Coloured Xirius Crystal and Swarovski Aurora Borealis (AB),
17,3,,RM199.00,RM179.10,Bloom By Naelofar Hijab (3pcs set),NH Hijab Perfume x 1 (Assorted),,"Peachskin, Meteorite, Pigeon",,,http://www.goshop.com.my/prd/20042419.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/24/19/20042419_06_1200.jpg,Heavy Chiffon with Swarovski Coloured Xirius Crystal and Swarovski Aurora Borealis (AB),
17,4,,RM999.00,RM899.10,Nesthouz Primo 1 + 6 Dining Set,,,,,,http://www.goshop.com.my/prd/20035133.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/51/33/20035133_01_400.jpg,"Timeless Style
Made from Solid Rubber Wood
Comfortably Seats 6",
18,1,,RM119.00,RM107.10,Jean Perry Ashley Myles Curtain Set A (Length 170cm x 2),,,"Grey, Brown, Navy Blue",,,http://www.goshop.com.my/prd/20037222.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/72/22/20037222_04_400.jpg,"Prevents light from entering
Makeover any space
Protect furniture and floors from sun damage
Reduce amount of noise coming into your home",
