Scene,Episode ID,Screenshot Scene URL,Screenshot Scene (with numbers) URL
1,1,http://i67.tinypic.com/2rpemxc.jpg,http://i64.tinypic.com/2d76g41.jpg
2,1,http://i67.tinypic.com/2992t4.jpg,http://i64.tinypic.com/15xqykg.jpg
3,1,http://i63.tinypic.com/2yvpcug.jpg,http://i67.tinypic.com/2eptrpi.jpg
4,1,http://i65.tinypic.com/fa7j2x.jpg,http://i67.tinypic.com/2e1t6s3.jpg
5,1,http://i63.tinypic.com/fjne6b.jpg,http://i64.tinypic.com/fnqyqq.jpg
6,1,http://i63.tinypic.com/mczps3.jpg,http://i65.tinypic.com/nqzteh.jpg
7,1,http://i63.tinypic.com/2rgp2ww.jpg,http://i67.tinypic.com/333bckh.jpg
8,1,http://i67.tinypic.com/nlzs03.jpg,http://i66.tinypic.com/f39udh.jpg
9,1,http://i67.tinypic.com/2ugjkn4.jpg,http://i64.tinypic.com/2qjj3ie.jpg
10,1,http://i68.tinypic.com/s1ukw5.jpg,http://i66.tinypic.com/34fbalk.jpg
11,1,http://i64.tinypic.com/2z6in2d.jpg,http://i67.tinypic.com/rs8uox.jpg
12,1,http://i68.tinypic.com/23sf5nr.jpg,http://i68.tinypic.com/sg0sk5.jpg
13,1,http://i66.tinypic.com/2ch0u4l.jpg,http://i67.tinypic.com/28aopyp.jpg
