Scene ID,Episode ID,Screenshot Scene URL,Screenshot Scene (with numbers) URL
1,2,http://i63.tinypic.com/dddg6b.jpg,http://i66.tinypic.com/4l5c7t.jpg
2,2,http://i66.tinypic.com/au7h1c.jpg,http://i66.tinypic.com/2edcjm0.jpg
3,2,http://i67.tinypic.com/1256mc8.jpg,http://i67.tinypic.com/n4a9ut.jpg
4,2,http://i63.tinypic.com/2ldelia.jpg,http://i63.tinypic.com/12678ts.jpg
5,2,http://i63.tinypic.com/zilwki.jpg,http://i68.tinypic.com/300bsdt.jpg
6,2,http://i65.tinypic.com/2qlepzs.jpg,http://i65.tinypic.com/6z55zk.jpg
7,2,http://i65.tinypic.com/313lzyo.jpg,http://i64.tinypic.com/2rr9d3r.jpg
8,2,http://i67.tinypic.com/riripf.jpg,http://i67.tinypic.com/zu5i86.jpg
9,2,http://i66.tinypic.com/esnwao.jpg,http://i68.tinypic.com/2nsm0t1.jpg
10,2,http://i67.tinypic.com/15fy40.jpg,http://i65.tinypic.com/2chlvli.jpg
11,2,http://i63.tinypic.com/1072v10.jpg,http://i64.tinypic.com/2434wuv.jpg
12,2,http://i68.tinypic.com/dot11w.jpg,http://i67.tinypic.com/2n06mnt.jpg
13,2,http://i68.tinypic.com/23qxvno.jpg,http://i66.tinypic.com/migbhh.jpg
14,2,http://i65.tinypic.com/opbac9.jpg,http://i67.tinypic.com/4njvo.jpg
15,2,http://i67.tinypic.com/2s7ib7t.jpg,http://i64.tinypic.com/xgmgkk.jpg
16,2,http://i63.tinypic.com/m79g8w.jpg,http://i64.tinypic.com/2434wuv.jpg
17,2,http://i65.tinypic.com/if4pia.jpg,http://i64.tinypic.com/f0xon5.jpg
18,2,http://i65.tinypic.com/mlo7lk.jpg,http://i67.tinypic.com/dc4qpw.jpg
19,2,http://i64.tinypic.com/upu6e.jpg,http://i67.tinypic.com/29wmt4x.jpg
20,2,http://i63.tinypic.com/2s63b5y.jpg,http://i66.tinypic.com/21c83r6.jpg
